STT,Scope,Page/Component,Component file,Component dùng để làm gì,Component con/Dialog/State chính,Frontend service/function,Base URL config,API method,API endpoint,Backend controller file,Controller method,Backend service/file,Service method/status check chính,DTO/Type liên quan,DB Entity/Repository/Table liên quan,Câu cô có thể hỏi,Câu trả lời ngắn để vấn đáp
1,App entry,App,src/frontend/src/App.tsx,Component gốc render LoginPage,Không có state riêng,Không gọi API trực tiếp,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,"App dùng để làm gì?","App là root component, hiện tại chỉ render LoginPage; LoginPage sẽ quyết định hiển thị màn nào theo role sau khi login."
2,Auth/Login,LoginPage,src/frontend/src/pages/LoginPage.tsx,Quản lý session đăng nhập và điều hướng dashboard theo role,"session state; useEffect đọc localStorage; render AdminAccountDashboard/MangakaDashboard/AssistantDashboard/TantouEditorDashboard/EditorialBoardDashboard",getStoredAuth(); logout(),src/frontend/src/services/authService.ts -> import.meta.env.VITE_API_BASE_URL ?? http://localhost:8080,Không gọi API trực tiếp; gọi localStorage helper,Không có trực tiếp; LoginForm mới gọi /api/auth/login,Không có trực tiếp,Không có trực tiếp,Không có trực tiếp,Check role ở LoginPage: Admin/Mangaka/Assistant/TantouEditor/EditorialBoardMember,LoginResponse; AuthenticatedUser,Không trực tiếp,"Login xong vì sao chuyển đúng dashboard?","LoginPage đọc session.user.role rồi render dashboard tương ứng; ví dụ role Mangaka thì render MangakaDashboard."
3,Auth/Login,LoginForm,src/frontend/src/components/LoginForm.tsx,Form nhập email/password và submit đăng nhập,"email,password,rememberMe,isPasswordVisible,errorMessage,isSubmitting",authService.login(request),src/frontend/src/services/authService.ts -> API_BASE_URL,POST,/api/auth/login,src/backend/src/main/java/com/mangaworkflow/api/auth/AuthController.java,login(LoginRequest),src/backend/src/main/java/com/mangaworkflow/application/auth/InMemoryAuthService.java,login() gọi InMemoryAccountService.authenticate(); sai account trả 401,LoginRequest; LoginResponse; AuthenticatedUser,UserEntity; RoleEntity; UserRepository; RoleRepository; users; roles,"Component login lấy API nào của backend?","LoginForm gọi authService.login, service fetch POST /api/auth/login, backend nhận ở AuthController.login."
4,Auth/Login,authService,src/frontend/src/services/authService.ts,File service kết nối API login và lưu/xóa session localStorage,"localStorage key mangaWorkflow.auth",login(); getStoredAuth(); storeAuth(); logout(),import.meta.env.VITE_API_BASE_URL ?? http://localhost:8080,POST,/api/auth/login,AuthController.java,login(),InMemoryAuthService.java,Login thành công trả LoginResponse; thất bại throw error,LoginRequest; LoginResponse,users; roles,"Base URL nằm ở đâu?","Trong các file service frontend có API_BASE_URL = import.meta.env.VITE_API_BASE_URL hoặc fallback http://localhost:8080."
5,Admin,AdminAccountDashboard,src/frontend/src/components/AdminAccountDashboard.tsx,Màn admin quản lý account và skill,"accounts,skills,accountForm,skillForm,editingAccountId,editingSkillId,pendingAccountSkills; form account; form skill; bảng account/skill",listAdminAccounts(); createAdminAccount(); updateAdminAccount(); changeAdminAccountStatus(); updateAdminAccountSkills(); deleteAdminAccount(); listSkills(); createSkill(); updateSkill(); toggleSkillStatus(); deleteSkill(),adminAccountService.ts và skillService.ts -> API_BASE_URL,Nhiều API,/api/admin/accounts và /api/admin/skills,AdminAccountController.java; AdminSkillController.java,list/create/update/status/skills/delete,InMemoryAccountService.java; InMemorySkillCategoryService.java,Admin account CRUD; status Active/Inactive/Suspended; gán skill cho user; skill active/inactive,AccountDto; AccountCreateRequest; AccountUpdateRequest; AccountStatus; SkillCategoryDto,UserEntity; RoleEntity; SkillEntity; UserSkillEntity; repositories; users; roles; skills; user_skills,"AdminDashboard có những component/state gì?","Nó có state danh sách accounts/skills, form account, form skill, id đang edit và pending skills để quản lý user/skill."
6,Admin Account API,Admin account list,src/frontend/src/services/adminAccountService.ts,Lấy danh sách accounts cho AdminDashboard,Được gọi trong loadBoard() của AdminAccountDashboard,listAdminAccounts(),API_BASE_URL,GET,/api/admin/accounts,src/backend/src/main/java/com/mangaworkflow/api/admin/AdminAccountController.java,list(),src/backend/src/main/java/com/mangaworkflow/application/account/InMemoryAccountService.java,listAccounts(),AccountDto,UserEntity; RoleEntity; UserRepository; RoleRepository; users; roles,"API lấy danh sách account nằm đâu?","Frontend gọi listAdminAccounts trong adminAccountService.ts; backend xử lý ở AdminAccountController.list rồi service listAccounts."
7,Admin Account API,Admin create account,src/frontend/src/components/AdminAccountDashboard.tsx,Tạo account mới từ form admin,handleAccountSubmit() khi không có selectedAccount,createAdminAccount(payload),API_BASE_URL,POST,/api/admin/accounts,AdminAccountController.java,create(AccountCreateRequest),InMemoryAccountService.java,createAccount(); validate email/password/role/status; trùng email báo conflict,AccountCreateRequest; AccountDto,UserEntity; RoleEntity; users; roles,"Tạo user mới backend check gì?","Service check dữ liệu bắt buộc, email hợp lệ, role hợp lệ, status hợp lệ và không trùng email trước khi lưu."
8,Admin Account API,Admin update account,src/frontend/src/components/AdminAccountDashboard.tsx,Sửa thông tin account,handleAccountSubmit() khi có selectedAccount,updateAdminAccount(id,payload),API_BASE_URL,PUT,/api/admin/accounts/{id},AdminAccountController.java,update(String id, AccountUpdateRequest),InMemoryAccountService.java,updateAccount(); check id tồn tại; check status/role/email,AccountUpdateRequest; AccountDto,UserEntity; RoleEntity; users; roles,"Update account gọi API nào?","PUT /api/admin/accounts/{id}, controller AdminAccountController.update, service InMemoryAccountService.updateAccount."
9,Admin Account API,Admin change account status,src/frontend/src/components/AdminAccountDashboard.tsx,Đổi Active/Inactive/Suspended của account,Nút/status action trong bảng account,changeAdminAccountStatus(id,status),API_BASE_URL,PUT,/api/admin/accounts/{id}/status,AdminAccountController.java,status(String id, StatusRequest),InMemoryAccountService.java,setStatus(); check status hợp lệ; account tồn tại,StatusRequest; AccountStatus; AccountDto,UserEntity; users,"Code check trạng thái account nằm ở đâu?","Status account được kiểm tra trong InMemoryAccountService.setStatus/updateAccount, enum AccountStatus gồm Active/Inactive/Suspended."
10,Admin Account API,Admin account skills,src/frontend/src/components/AdminAccountDashboard.tsx,Gán danh sách skill cho account,pendingAccountSkills state; checkbox/toggle skill per account,updateAdminAccountSkills(id,skillIds),API_BASE_URL,PUT,/api/admin/accounts/{id}/skills,AdminAccountController.java,skills(String id, SkillsRequest),InMemoryAccountService.java,updateSkills(); check account và skill tồn tại,SkillsRequest; AccountDto; SkillCategoryDto,UserSkillEntity; SkillEntity; UserEntity; user_skills; skills,"Gán skill cho user lưu ở đâu?","Frontend gửi skillIds; backend lưu quan hệ qua UserSkillEntity/UserSkillRepository tương ứng bảng user_skills."
11,Admin Skill API,Admin skill list,src/frontend/src/services/skillService.ts,Lấy danh sách skill category cho admin,Được gọi chung với list accounts trong loadBoard(),listSkills(),API_BASE_URL,GET,/api/admin/skills,src/backend/src/main/java/com/mangaworkflow/api/admin/AdminSkillController.java,list(),src/backend/src/main/java/com/mangaworkflow/application/skill/InMemorySkillCategoryService.java,listSkills(),SkillCategoryDto,SkillEntity; SkillRepository; skills,"Skill API nằm ở controller nào?","AdminSkillController xử lý /api/admin/skills, service là InMemorySkillCategoryService."
12,Admin Skill API,Admin create/update skill,src/frontend/src/components/AdminAccountDashboard.tsx,Tạo hoặc sửa skill từ skill form,handleSkillSubmit(); editingSkillId,createSkill(); updateSkill(),API_BASE_URL,POST/PUT,/api/admin/skills ; /api/admin/skills/{id},AdminSkillController.java,create(); update(),InMemorySkillCategoryService.java,createSkill(); updateSkill(); validate name; check duplicate,SkillCategoryCreateRequest; SkillCategoryUpdateRequest; SkillCategoryDto,SkillEntity; skills,"Skill form làm gì?","Skill form dùng để thêm/sửa kỹ năng như Lettering/Coloring; backend validate tên skill và lưu vào skills."
13,Admin Skill API,Admin toggle/delete skill,src/frontend/src/components/AdminAccountDashboard.tsx,Bật/tắt hoặc xóa skill,Nút action ở danh sách skill,toggleSkillStatus(); deleteSkill(),API_BASE_URL,PUT/DELETE,/api/admin/skills/{id}/status ; /api/admin/skills/{id},AdminSkillController.java,status(); delete(),InMemorySkillCategoryService.java,setSkillActive(); deleteSkill(),SkillStatusRequest; SkillCategoryDto,SkillEntity; UserSkillEntity; skills; user_skills,"Xóa skill có ảnh hưởng gì?","Backend xóa/tắt skill trong service; nếu skill đã được user dùng thì cần kiểm tra quan hệ user_skills theo logic service."
14,Mangaka Proposal,MangakaDashboard,src/frontend/src/components/MangakaDashboard.tsx,Màn mangaka quản lý proposal và production sau khi approved,"activeView; proposals; proposalForm; productionByProposal; selectedProposal/chapter/page/region/task; các form chapter/page/region/task",mangakaProposalService + mangakaProductionService,service files -> API_BASE_URL,Nhiều API,/api/mangaka/proposals và /api/mangaka/proposals/{proposalId}/chapters...,MangakaProposalController.java; MangakaProductionController.java,Nhiều method proposal và production,InMemoryMangaProposalService.java; InMemoryMangakaProductionService.java,Proposal flow Draft -> SubmittedToEditor -> UnderBoardReview -> Approved; production chỉ cho proposal Approved/Serializing,MangaProposalDto; MangaProposalStatus; MangakaChapterDto; PageDto; RegionDto; TaskDto,SeriesEntity; ChapterEntity; PageEntity; TaskEntity; SubmissionEntity,"MangakaDashboard có những phần nào?","Có proposal management và production management: tạo/sửa/submit proposal, upload manuscript metadata, rồi khi approved thì tạo chapter/page/region/task."
15,Mangaka Proposal API,List proposals,src/frontend/src/services/mangakaProposalService.ts,Lấy proposal theo author email cho dashboard,loadProposals() trong MangakaDashboard,listMangakaProposals(authorEmail),API_BASE_URL,GET,/api/mangaka/proposals?authorEmail={email},src/backend/src/main/java/com/mangaworkflow/api/mangaka/MangakaProposalController.java,list(authorEmail),src/backend/src/main/java/com/mangaworkflow/application/proposal/InMemoryMangaProposalService.java,listByAuthorEmail(); sort newest,MangaProposalDto,SeriesEntity; SeriesRepository; users,"Lấy proposal của mangaka ở đâu?","GET /api/mangaka/proposals?authorEmail=..., controller MangakaProposalController.list, service listByAuthorEmail."
